"";"date";"cpi";"unemprate";"rgdp";"gp_investment";"debt_gdp"
"1";1970-01-01;16,0747963226266;4,15844937991834;4936,594;168,113;35,38879
"2";1970-04-01;16,2998153437658;4,79334421940898;4943,6;171,455;34,67329
"3";1970-07-01;16,4685796096201;5,33363447590776;4989,159;173,904;34,86717
"4";1970-10-01;16,7076623195804;5,87499692952011;4935,693;166,754;35,74822
"5";1971-01-01;16,8482992077924;5,97638945550395;5069,746;189,495;34,50345
"6";1971-04-01;17,0029997848256;5,99702453504356;5097,179;197,329;34,36089
"7";1971-07-01;17,1717640506799;6,16310042325461;5139,128;202,058;35,00694
"8";1971-10-01;17,2983372500707;6,0283054293118;5151,245;198,411;35,63237
"9";1972-01-01;17,4389741382826;5,85354653129241;5245,974;212,968;34,72622
"10";1972-04-01;17,5514836488522;5,7699757765888;5365,045;226,798;33,67383
"11";1972-07-01;17,6921205370641;5,71765231046479;5415,712;233,09;33,62447
"12";1972-10-01;17,8749484917397;5,36372447818729;5506,396;239,715;33,74758
"13";1973-01-01;18,1562222681636;5,03721565079599;5642,669;254,313;33,29287
"14";1973-04-01;18,5359418663359;5,0166757675396;5704,098;268,196;32,34466
"15";1973-07-01;18,901597775687;4,89564107305779;5674,1;264,335;32,12455
"16";1973-10-01;19,3797631956076;4,82726528225377;5727,96;280,858;31,77379
"17";1974-01-01;19,9563744372766;5,15842474703352;5678,713;268,361;31,76449
"18";1974-04-01;20,4907946124821;5,27879272380848;5692,21;277,391;30,99462
"19";1974-07-01;21,0674058541511;5,71742446142962;5638,411;271,013;30,86269
"20";1974-10-01;21,7143355399261;6,6296693235562;5616,526;281,339;30,79768
"21";1975-01-01;22,1784372710256;8,41371306478262;5548,156;244,306;31,53604
"22";1975-04-01;22,4456473586283;8,89598817794107;5587,8;243,281;32,27817
"23";1975-07-01;22,8956854009065;8,62866576556841;5683,444;265,192;32,38043
"24";1975-10-01;23,3175960655424;8,32547566982002;5759,972;276,236;32,7301
"25";1976-01-01;23,5848061531451;7,87514548188193;5889,5;304,638;32,98513
"26";1976-04-01;23,7957614854631;7,59532320462307;5932,711;322,303;33,49464
"27";1976-07-01;24,1754810836353;7,83174994780172;5965,265;328,307;33,64333
"28";1976-10-01;24,5270733041652;7,83210666862638;6008,504;337,65;33,78753
"29";1977-01-01;24,9771113464435;7,62757737636057;6079,494;360,313;33,65136
"30";1977-04-01;25,4130856999006;7,15944846699685;6197,686;389,703;32,80422
"31";1977-07-01;25,7646779204305;6,98874991084328;6309,514;414,134;32,98791
"32";1977-10-01;26,1443975186027;6,67890644484191;6309,652;422,299;33,21873
"33";1978-01-01;26,594435560881;6,39600780063084;6329,791;434,799;33,5012
"34";1978-04-01;27,1991741801924;6,03378731536984;6574,39;470,584;32,12444
"35";1978-07-01;27,8320401771462;6,10214255743773;6640,497;492,368;32,21407
"36";1978-10-01;28,4789698629212;5,96571062822839;6729,755;515,755;31,86206
"37";1979-01-01;29,1962179928022;5,92418444236864;6741,854;525,809;31,53601
"38";1979-04-01;30,1244214550011;5,7883666222696;6749,063;539,293;31,06277
"39";1979-07-01;31,0948159836636;5,9487382679272;6799,2;545,621;30,98402
"40";1979-10-01;32,0792742011473;6,04933417134942;6816,203;547,875;31,02615
"41";1980-01-01;33,3450061950549;6,37551425125987;6837,641;554,562;30,94982
"42";1980-04-01;34,4701013007506;7,41970701966517;6696,753;519,294;31,37303
"43";1980-07-01;35,1170309865256;7,80352795056562;6688,794;495,071;31,77687
"44";1980-10-01;36,1014892040093;7,56940413141302;6813,535;551,472;31,157
"45";1981-01-01;37,1000111103142;7,51928144373913;6947,042;619,381;30,87284
"46";1981-04-01;37,8735139954799;7,51498873277337;6895,559;609,843;30,70875
"47";1981-07-01;38,9282906570696;7,55693670292256;6978,135;652,297;30,60333
"48";1981-10-01;39,5611566540234;8,42152943161556;6902,105;643,395;31,35587
"49";1982-01-01;39,9127488745533;8,97425352415861;6794,878;588,318;32,41298
"50";1982-04-01;40,4893601162223;9,62028235089548;6825,876;593,621;32,40213
"51";1982-07-01;41,1925445572821;10,1379716011822;6799,781;592,954;33,9253
"52";1982-10-01;41,3191177566729;10,8628535128619;6802,497;549,242;35,18156
"53";1983-01-01;41,3472451343152;10,562474973377;6892,144;565,52;35,82911
"54";1983-04-01;41,8254105542359;10,3058098117574;7048,982;613,783;36,87167
"55";1983-07-01;42,2332575300506;9,50213363529837;7189,896;652,269;37,3311
"56";1983-10-01;42,6551681946864;8,71162091898321;7339,893;718,496;37,17553
