DATE,GASREGCOVW
1/21/1991,1.192
1/28/1991,1.168
2/4/1991,1.139
2/11/1991,1.106
2/18/1991,1.078
2/25/1991,1.054
3/4/1991,1.025
3/11/1991,1.045
3/18/1991,1.043
3/25/1991,1.047
4/1/1991,1.052
4/8/1991,1.066
4/15/1991,1.069
4/22/1991,1.09
4/29/1991,1.104
5/6/1991,1.113
5/13/1991,1.121
5/20/1991,1.129
5/27/1991,1.14
6/3/1991,1.138
6/10/1991,1.135
6/17/1991,1.126
6/24/1991,1.114
7/1/1991,1.104
7/8/1991,1.098
7/15/1991,1.094
7/22/1991,1.091
7/29/1991,1.091
8/5/1991,1.099
8/12/1991,1.112
8/19/1991,1.124
8/26/1991,1.124
9/2/1991,1.127
9/9/1991,1.12
9/16/1991,1.11
9/23/1991,1.097
9/30/1991,1.092
10/7/1991,1.089
10/14/1991,1.084
10/21/1991,1.088
10/28/1991,1.091
11/4/1991,1.091
11/11/1991,1.102
11/18/1991,1.104
11/25/1991,1.099
12/2/1991,1.099
12/9/1991,1.091
12/16/1991,1.075
12/23/1991,1.063
12/30/1991,1.053
1/6/1992,1.042
1/13/1992,1.026
1/20/1992,1.014
1/27/1992,1.006
2/3/1992,0.995
2/10/1992,1.004
2/17/1992,1.011
2/24/1992,1.014
3/2/1992,1.012
3/9/1992,1.013
3/16/1992,1.01
3/23/1992,1.015
3/30/1992,1.013
4/6/1992,1.026
4/13/1992,1.051
4/20/1992,1.058
4/27/1992,1.072
5/4/1992,1.089
5/11/1992,1.102
5/18/1992,1.118
5/25/1992,1.12
6/1/1992,1.128
6/8/1992,1.143
6/15/1992,1.151
6/22/1992,1.153
6/29/1992,1.149
7/6/1992,1.147
7/13/1992,1.139
7/20/1992,1.132
7/27/1992,1.128
8/3/1992,1.126
8/10/1992,1.123
8/17/1992,1.116
8/24/1992,1.123
8/31/1992,1.121
9/7/1992,1.121
9/14/1992,1.124
9/21/1992,1.123
9/28/1992,1.118
10/5/1992,1.115
10/12/1992,1.115
10/19/1992,1.113
10/26/1992,1.113
11/2/1992,1.12
11/9/1992,1.12
11/16/1992,1.112
11/23/1992,1.106
11/30/1992,1.098
12/7/1992,1.089
12/14/1992,1.078
12/21/1992,1.074
12/28/1992,1.069
1/4/1993,1.065
1/11/1993,1.066
1/18/1993,1.061
1/25/1993,1.055
2/1/1993,1.055
2/8/1993,1.062
2/15/1993,1.053
2/22/1993,1.047
3/1/1993,1.042
3/8/1993,1.048
3/15/1993,1.058
3/22/1993,1.056
3/29/1993,1.057
4/5/1993,1.068
4/12/1993,1.079
4/19/1993,1.079
4/26/1993,1.086
5/3/1993,1.086
5/10/1993,1.097
5/17/1993,1.106
5/24/1993,1.106
5/31/1993,1.107
6/7/1993,1.104
6/14/1993,1.101
6/21/1993,1.095
6/28/1993,1.089
7/5/1993,1.086
7/12/1993,1.081
7/19/1993,1.075
7/26/1993,1.069
8/2/1993,1.062
8/9/1993,1.06
8/16/1993,1.059
8/23/1993,1.065
8/30/1993,1.062
9/6/1993,1.055
9/13/1993,1.051
9/20/1993,1.045
9/27/1993,1.047
10/4/1993,1.092
10/11/1993,1.09
10/18/1993,1.093
10/25/1993,1.092
11/1/1993,1.084
11/8/1993,1.075
11/15/1993,1.064
11/22/1993,1.058
11/29/1993,1.051
12/6/1993,1.036
12/13/1993,1.018
12/20/1993,1.003
12/27/1993,0.999
1/3/1994,0.992
1/10/1994,0.995
1/17/1994,1.001
1/24/1994,0.999
1/31/1994,1.005
2/7/1994,1.007
2/14/1994,1.016
2/21/1994,1.009
2/28/1994,1.004
3/7/1994,1.007
3/14/1994,1.005
3/21/1994,1.007
3/28/1994,1.012
4/4/1994,1.011
4/11/1994,1.028
4/18/1994,1.033
4/25/1994,1.037
5/2/1994,1.04
5/9/1994,1.045
5/16/1994,1.046
5/23/1994,1.05
5/30/1994,1.056
6/6/1994,1.065
6/13/1994,1.073
6/20/1994,1.079
6/27/1994,1.095
7/4/1994,1.097
7/11/1994,1.103
7/18/1994,1.109
7/25/1994,1.114
8/1/1994,1.13
8/8/1994,1.157
8/15/1994,1.161
8/22/1994,1.165
8/29/1994,1.161
9/5/1994,1.156
9/12/1994,1.15
9/19/1994,1.14
9/26/1994,1.129
10/3/1994,1.12
10/10/1994,1.114
10/17/1994,1.106
10/24/1994,1.107
10/31/1994,1.121
11/7/1994,1.123
11/14/1994,1.122
11/21/1994,1.113
11/28/1994,1.082
12/5/1994,1.075
12/12/1994,1.064
12/19/1994,1.056
12/26/1994,1.044
1/2/1995,1.063
1/9/1995,1.07
1/16/1995,1.062
1/23/1995,1.068
1/30/1995,1.068
2/6/1995,1.062
2/13/1995,1.058
2/20/1995,1.052
2/27/1995,1.06
3/6/1995,1.063
3/13/1995,1.056
3/20/1995,1.055
3/27/1995,1.063
4/3/1995,1.077
4/10/1995,1.094
4/17/1995,1.11
4/24/1995,1.133
5/1/1995,1.141
5/8/1995,1.164
5/15/1995,1.173
5/22/1995,1.191
5/29/1995,1.193
6/5/1995,1.194
6/12/1995,1.19
6/19/1995,1.183
6/26/1995,1.177
7/3/1995,1.169
7/10/1995,1.159
7/17/1995,1.148
7/24/1995,1.138
7/31/1995,1.126
8/7/1995,1.124
8/14/1995,1.121
8/21/1995,1.122
8/28/1995,1.113
9/4/1995,1.111
9/11/1995,1.107
9/18/1995,1.106
9/25/1995,1.106
10/2/1995,1.1
10/9/1995,1.092
10/16/1995,1.081
10/23/1995,1.073
10/30/1995,1.062
11/6/1995,1.06
11/13/1995,1.059
11/20/1995,1.056
11/27/1995,1.057
12/4/1995,1.058
12/11/1995,1.057
12/18/1995,1.072
12/25/1995,1.075
1/1/1996,1.077
1/8/1996,1.086
1/15/1996,1.092
1/22/1996,1.084
1/29/1996,1.079
2/5/1996,1.076
2/12/1996,1.073
2/19/1996,1.078
2/26/1996,1.099
3/4/1996,1.115
3/11/1996,1.116
3/18/1996,1.128
3/25/1996,1.158
4/1/1996,1.172
4/8/1996,1.195
4/15/1996,1.234
4/22/1996,1.243
4/29/1996,1.257
5/6/1996,1.259
5/13/1996,1.262
5/20/1996,1.269
5/27/1996,1.26
6/3/1996,1.252
6/10/1996,1.247
6/17/1996,1.241
6/24/1996,1.23
7/1/1996,1.219
7/8/1996,1.217
7/15/1996,1.215
7/22/1996,1.215
7/29/1996,1.209
8/5/1996,1.199
8/12/1996,1.196
8/19/1996,1.199
8/26/1996,1.201
9/2/1996,1.193
9/9/1996,1.201
9/16/1996,1.203
9/23/1996,1.203
9/30/1996,1.199
10/7/1996,1.191
10/14/1996,1.203
10/21/1996,1.205
10/28/1996,1.217
11/4/1996,1.225
11/11/1996,1.229
11/18/1996,1.238
11/25/1996,1.246
12/2/1996,1.242
12/9/1996,1.241
12/16/1996,1.233
12/23/1996,1.227
12/30/1996,1.224
1/6/1997,1.22
1/13/1997,1.235
1/20/1997,1.236
1/27/1997,1.232
2/3/1997,1.23
2/10/1997,1.227
2/17/1997,1.22
2/24/1997,1.217
3/3/1997,1.208
3/10/1997,1.199
3/17/1997,1.191
3/24/1997,1.196
3/31/1997,1.191
4/7/1997,1.192
4/14/1997,1.187
4/21/1997,1.188
4/28/1997,1.185
5/5/1997,1.182
5/12/1997,1.182
5/19/1997,1.195
5/26/1997,1.204
6/2/1997,1.206
6/9/1997,1.198
6/16/1997,1.189
6/23/1997,1.179
6/30/1997,1.171
7/7/1997,1.169
7/14/1997,1.165
7/21/1997,1.17
7/28/1997,1.164
8/4/1997,1.185
8/11/1997,1.219
8/18/1997,1.218
8/25/1997,1.23
9/1/1997,1.229
9/8/1997,1.227
9/15/1997,1.219
9/22/1997,1.208
9/29/1997,1.195
10/6/1997,1.195
10/13/1997,1.187
10/20/1997,1.178
10/27/1997,1.168
11/3/1997,1.163
11/10/1997,1.164
11/17/1997,1.156
11/24/1997,1.15
12/1/1997,1.14
12/8/1997,1.128
12/15/1997,1.118
12/22/1997,1.108
12/29/1997,1.099
1/5/1998,1.089
1/12/1998,1.083
1/19/1998,1.072
1/26/1998,1.055
2/2/1998,1.051
2/9/1998,1.045
2/16/1998,1.032
2/23/1998,1.038
3/2/1998,1.025
3/9/1998,1.017
3/16/1998,1.006
3/23/1998,0.998
3/30/1998,1.026
4/6/1998,1.023
4/13/1998,1.018
4/20/1998,1.021
4/27/1998,1.032
5/4/1998,1.038
5/11/1998,1.052
5/18/1998,1.055
5/25/1998,1.052
6/1/1998,1.047
6/8/1998,1.06
6/15/1998,1.049
6/22/1998,1.041
6/29/1998,1.042
7/6/1998,1.041
7/13/1998,1.037
7/20/1998,1.044
7/27/1998,1.035
8/3/1998,1.023
8/10/1998,1.018
8/17/1998,1.011
8/24/1998,1.004
8/31/1998,0.998
9/7/1998,0.991
9/14/1998,0.987
9/21/1998,0.999
9/28/1998,0.999
10/5/1998,1.006
10/12/1998,1.01
10/19/1998,1.007
10/26/1998,1.001
11/2/1998,0.997
11/9/1998,0.994
11/16/1998,0.981
11/23/1998,0.971
11/30/1998,0.954
12/7/1998,0.933
12/14/1998,0.923
12/21/1998,0.921
12/28/1998,0.914
1/4/1999,0.913
1/11/1999,0.92
1/18/1999,0.921
1/25/1999,0.913
2/1/1999,0.908
2/8/1999,0.907
2/15/1999,0.899
2/22/1999,0.885
3/1/1999,0.891
3/8/1999,0.9
3/15/1999,0.958
3/22/1999,0.999
3/29/1999,1.055
4/5/1999,1.087
4/12/1999,1.107
4/19/1999,1.103
4/26/1999,1.099
5/3/1999,1.107
5/10/1999,1.109
5/17/1999,1.112
5/24/1999,1.101
5/31/1999,1.088
6/7/1999,1.092
6/14/1999,1.088
6/21/1999,1.105
6/28/1999,1.095
7/5/1999,1.11
7/12/1999,1.123
7/19/1999,1.148
7/26/1999,1.172
8/2/1999,1.172
8/9/1999,1.183
8/16/1999,1.214
8/23/1999,1.212
8/30/1999,1.214
9/6/1999,1.223
9/13/1999,1.234
9/20/1999,1.252
9/27/1999,1.248
10/4/1999,1.242
10/11/1999,1.234
10/18/1999,1.22
10/25/1999,1.225
11/1/1999,1.218
11/8/1999,1.222
11/15/1999,1.24
11/22/1999,1.258
11/29/1999,1.262
12/6/1999,1.26
12/13/1999,1.263
12/20/1999,1.257
12/27/1999,1.263
1/3/2000,1.26
1/10/2000,1.252
1/17/2000,1.268
1/24/2000,1.307
1/31/2000,1.307
2/7/2000,1.319
2/14/2000,1.35
2/21/2000,1.4
2/28/2000,1.413
3/6/2000,1.49
3/13/2000,1.511
3/20/2000,1.508
3/27/2000,1.484
4/3/2000,1.478
4/10/2000,1.447
4/17/2000,1.415
4/24/2000,1.406
5/1/2000,1.386
5/8/2000,1.427
5/15/2000,1.466
5/22/2000,1.494
5/29/2000,1.509
6/5/2000,1.535
6/12/2000,1.607
6/19/2000,1.664
6/26/2000,1.641
7/3/2000,1.606
7/10/2000,1.571
7/17/2000,1.521
7/24/2000,1.499
7/31/2000,1.447
8/7/2000,1.437
8/14/2000,1.42
8/21/2000,1.444
8/28/2000,1.456
9/4/2000,1.502
9/11/2000,1.535
9/18/2000,1.539
9/25/2000,1.525
10/2/2000,1.498
10/9/2000,1.473
10/16/2000,1.516
10/23/2000,1.532
10/30/2000,1.523
11/6/2000,1.502
11/13/2000,1.501
11/20/2000,1.487
11/27/2000,1.489
12/4/2000,1.464
12/11/2000,1.425
12/18/2000,1.396
12/25/2000,1.388
1/1/2001,1.377
1/8/2001,1.4
1/15/2001,1.458
1/22/2001,1.456
1/29/2001,1.446
2/5/2001,1.426
2/12/2001,1.46
2/19/2001,1.429
2/26/2001,1.41
3/5/2001,1.393
3/12/2001,1.387
3/19/2001,1.377
3/26/2001,1.379
4/2/2001,1.411
4/9/2001,1.469
4/16/2001,1.535
4/23/2001,1.586
4/30/2001,1.585
5/7/2001,1.659
5/14/2001,1.663
5/21/2001,1.637
5/28/2001,1.656
6/4/2001,1.63
6/11/2001,1.58
6/18/2001,1.526
6/25/2001,1.454
7/2/2001,1.384
7/9/2001,1.35
7/16/2001,1.33
7/23/2001,1.318
7/30/2001,1.319
8/6/2001,1.319
8/13/2001,1.347
8/20/2001,1.399
8/27/2001,1.48
9/3/2001,1.538
9/10/2001,1.511
9/17/2001,1.516
